ListingID,City,Locality,PropertyType,BHK,Bathrooms,Balconies,Furnishing,SuperBuiltUpArea_sqft,BuiltUpArea_sqft,CarpetArea_sqft,Floor,TotalFloors,Parking,BuildingType,YearBuilt,AgeYears,Facing,AmenitiesCount,IsRERARegistered,RERAID,Latitude,Longitude,Price_INR
HP01287,Bengaluru,Banashankari,Apartment,3,3.0,2.0,Semi-Furnished,1816,1386,1218,0,3,Covered,Standalone Building,2018.0,7,South,9,True,BEN-RERA-3063-23,12.822958,77.759009,15060000
HP01726,Delhi NCR,Faridabad-Sector 21,Apartment,2,2.0,2.0,Semi-Furnished,1579,1205,1078,0,3,Open,Standalone Building,2009.0,16,South-West,8,True,DEL-RERA-8739-21,28.563276,76.992152,12570000
HP01011,Pune,Hinjawadi,Independent House,3,3.0,1.0,Unfurnished,2073,1711,1369,3,3,Open,Standalone Building,2014.0,11,North-East,4,True,PUN-RERA-4033-88,18.468168,,17470000
HP00910,Chennai,Velachery,Villa,4,5.0,1.0,Unfurnished,3637,3031,2408,0,3,Basement,Bungalow,2006.0,19,North-West,5,True,CHE-RERA-9763-53,12.922412,80.312701,36280000
HP01536,Chennai,T Nagar,Penthouse,6,7.0,2.0,Unfurnished,3973,2982,2301,2,23,Covered,High Rise,2008.0,17,North,7,True,CHE-RERA-8666-20,13.061543,80.329035,36640000
HP00996,Chennai,Adyar,Apartment,4,5.0,2.0,Unfurnished,2972,2519,2187,33,34,Open,High Rise,2012.0,13,West,7,True,CHE-RERA-3626-41,12.948362,80.303762,26560000
HP01800,Kolkata,Behala,Studio,0,2.0,1.0,Semi-Furnished,663,544,470,22,28,Covered,High Rise,2018.0,7,East,6,True,KOL-RERA-2955-22,22.574877,88.360196,5200000
HP00019,MMR,Andheri West,Apartment,2,3.0,1.0,Unfurnished,1741,1372,1199,5,5,Open,Standalone Building,2016.0,9,North,4,True,MMR-RERA-7539-36,19.143153,72.812679,24740000
HP01072,Hyderabad,Kondapur,Studio,0,2.0,1.0,Unfurnished,748,590,522,4,22,Covered,High Rise,2025.0,0,North,8,True,HYD-RERA-2487-73,17.370903,78.38291,5010000
HP00334,Delhi NCR,Dwarka,Apartment,3,4.0,2.0,Furnished,1881,1540,1353,6,12,Covered,Mid Rise,2021.0,4,North-East,9,True,DEL-RERA-6093-20,28.590884,76.925745,20130000
HP02019,Bengaluru,Koramangala,Apartment,2,2.0,2.0,Furnished,1740,1434,1298,19,35,Stilt,High Rise,2009.0,16,South,8,False,,13.076037,77.635718,16980000
HP00453,Bengaluru,Whitefield,Penthouse,2,2.0,1.0,Semi-Furnished,1907,1423,1226,15,25,Stilt,High Rise,2014.0,11,South-West,8,True,BEN-RERA-5747-18,12.975471,77.60785,21350000
HP02333,Ahmedabad,Bodakdev,Penthouse,3,4.0,2.0,Unfurnished,2046,1543,1300,29,29,Covered,High Rise,2009.0,16,North-East,9,True,AHM-RERA-7247-46,22.997964,72.527821,11990000
HP02311,MMR,Vile Parle,Apartment,1,2.0,2.0,Unfurnished,824,698,634,0,2,None,Low Rise,2023.0,2,West,4,True,MMR-RERA-4037-55,19.035683,72.811636,13900000
HP00281,Bengaluru,Whitefield,Apartment,4,4.0,1.0,Unfurnished,2506,2062,1745,7,13,Covered,High Rise,2013.0,12,North-West,8,True,BEN-RERA-6072-40,13.105764,77.683969,23370000
HP01876,Hyderabad,Gachibowli,Studio,0,2.0,0.0,Semi-Furnished,782,619,540,18,25,Open,High Rise,2001.0,24,East,4,False,,17.309594,78.506241,5300000
HP00945,Bengaluru,Sarjapur Road,Independent House,4,4.0,2.0,Semi-Furnished,3402,2646,2232,1,4,Open,Standalone Building,2016.0,9,East,5,True,BEN-RERA-7945-28,13.103817,77.536521,31440000
HP00327,Pune,Hinjawadi,Apartment,4,5.0,1.0,Semi-Furnished,3366,2675,2221,25,38,Covered,High Rise,2023.0,2,North,10,True,PUN-RERA-6329-73,18.603706,73.855468,30800000
HP00155,Delhi NCR,Dwarka,Apartment,4,5.0,3.0,Semi-Furnished,3465,2746,2333,1,7,Open,Gated Community,2009.0,16,North,4,True,DEL-RERA-1768-46,28.627063,77.036754,28950000
HP02011,MMR,Mulund,Apartment,3,4.0,1.0,Unfurnished,1416,1179,1072,2,4,Covered,Low Rise,2010.0,15,North-West,8,True,MMR-RERA-1267-46,19.103355,72.881643,23910000
HP00168,Pune,Hinjawadi,Row House,2,2.0,1.0,Unfurnished,1430,1029,886,0,2,Open,Bungalow,2021.0,4,South,5,True,PUN-RERA-5680-89,18.599911,73.880457,13780000
HP02302,Pune,Baner,Apartment,2,2.0,2.0,Furnished,1245,969,841,12,20,Open,High Rise,2016.0,9,West,8,True,PUN-RERA-6409-25,18.490146,73.773251,9890000
HP02030,Delhi NCR,Faridabad-Sector 21,Apartment,2,3.0,1.0,Semi-Furnished,1826,1455,1298,25,30,Open,High Rise,2024.0,1,South-West,6,True,DEL-RERA-4226-66,28.501318,77.041097,21460000
HP01691,MMR,Navi Mumbai-Kharghar,Apartment,3,4.0,1.0,Furnished,1794,1458,1286,2,9,Open,Mid Rise,2006.0,19,North,7,True,MMR-RERA-8494-88,19.272325,72.813507,26510000
HP00777,Delhi NCR,Faridabad-Sector 21,Studio,0,2.0,1.0,Semi-Furnished,700,561,499,1,27,Covered,High Rise,2016.0,9,North,4,True,DEL-RERA-4711-79,28.760239,77.23195,5240000
HP01018,Pune,Viman Nagar,Apartment,3,4.0,1.0,Semi-Furnished,2805,2249,1891,0,2,Covered,Low Rise,2007.0,18,South-East,4,True,PUN-RERA-3907-89,18.546872,73.883342,28740000
HP01317,Bengaluru,Yelahanka,Villa,2,3.0,2.0,Unfurnished,1417,1101,937,8,8,Open,Gated Community,2007.0,18,North,6,True,BEN-RERA-7642-99,13.032537,77.751741,12460000
HP01969,Chennai,Velachery,Apartment,2,3.0,1.0,Semi-Furnished,1356,1087,988,7,10,Covered,Gated Community,2011.0,14,South-East,6,True,CHE-RERA-1187-36,12.97652,80.281685,11440000
HP00456,Chennai,Porur,Apartment,3,4.0,2.0,Unfurnished,2485,1841,1617,2,21,Basement,High Rise,2023.0,2,North-East,8,True,CHE-RERA-4720-34,12.964184,80.267983,22780000
HP01398,Bengaluru,Banashankari,Apartment,3,3.0,1.0,Unfurnished,1516,1285,1106,2,17,Covered,High Rise,2009.0,16,South-West,5,True,BEN-RERA-3439-21,13.106268,77.724359,14430000
HP01147,Chennai,Anna Nagar,Apartment,2,3.0,1.0,Unfurnished,1617,1370,1214,6,11,Stilt,Mid Rise,2004.0,21,East,7,True,CHE-RERA-9554-95,13.035873,80.266196,12160000
HP02070,Delhi NCR,Noida-Sector 62,Apartment,2,2.0,2.0,Semi-Furnished,1957,1471,1243,7,12,Open,Mid Rise,2016.0,9,North,4,False,,28.72905,77.365327,17880000
HP01413,Hyderabad,Manikonda,Apartment,2,3.0,1.0,Unfurnished,1753,1466,1270,12,34,Covered,High Rise,2025.0,0,South-East,10,False,,17.480217,78.411095,14350000
HP00836,Delhi NCR,Gurugram-Sector 56,Apartment,2,2.0,1.0,Furnished,1397,1159,1054,2,2,None,Standalone Building,2008.0,17,East,4,True,DEL-RERA-6037-92,28.685225,77.389804,11860000
HP01637,Bengaluru,Hebbal,Apartment,2,3.0,2.0,Unfurnished,1164,940,752,4,9,Covered,Gated Community,2019.0,6,North-East,8,False,,13.114135,,10240000
HP01917,Kolkata,Rajarhat,Apartment,2,2.0,1.0,Unfurnished,1101,898,752,7,7,Covered,Gated Community,2016.0,9,South-West,6,True,KOL-RERA-3729-24,22.589766,88.457044,8550000
HP01821,Pune,Baner,Independent House,4,5.0,1.0,Semi-Furnished,3406,2433,2079,8,12,Basement,Gated Community,2015.0,10,North-West,8,False,,18.525102,73.773464,28280000
HP01703,Chennai,T Nagar,Independent House,2,2.0,1.0,Unfurnished,985,806,709,2,2,Open,Standalone Building,2014.0,11,,7,True,CHE-RERA-5598-22,13.192589,80.271816,7370000
HP01323,Delhi NCR,Ghaziabad-Indirapuram,Row House,3,3.0,1.0,Semi-Furnished,3181,2272,1831,6,7,Covered,Gated Community,2009.0,16,North-East,9,True,DEL-RERA-8497-78,28.492588,77.242086,28260000
HP01998,Chennai,Anna Nagar,Studio,0,2.0,1.0,Semi-Furnished,619,516,428,19,25,Covered,High Rise,2016.0,9,South,7,True,CHE-RERA-5755-76,12.921292,80.267717,4880000
HP02207,MMR,Powai,Apartment,3,4.0,2.0,Unfurnished,2439,1871,1647,22,32,Open,High Rise,2024.0,1,North,5,False,,19.247014,72.762754,38180000
HP00785,Bengaluru,Marathahalli,Apartment,2,3.0,1.0,Unfurnished,1273,958,837,0,2,,Standalone Building,2010.0,15,North-West,6,True,BEN-RERA-8571-26,13.123276,77.457455,10120000
HP00690,Bengaluru,Marathahalli,Apartment,3,3.0,2.0,Semi-Furnished,1505,1251,1134,32,38,Covered,High Rise,2018.0,7,West,7,True,BEN-RERA-1675-82,12.941659,77.568081,14690000
HP00725,Bengaluru,HSR Layout,Row House,3,3.0,2.0,Unfurnished,2454,1788,1514,0,3,Open,Bungalow,2004.0,21,North-East,4,True,BEN-RERA-3551-48,13.061785,77.576695,22140000
HP00612,Ahmedabad,Prahlad Nagar,Apartment,2,2.0,3.0,Unfurnished,1343,1006,864,15,21,Open,High Rise,2018.0,7,South,7,True,AHM-RERA-8115-23,23.053975,72.554724,7130000
HP01456,Pune,Hinjawadi,Apartment,1,2.0,2.0,Unfurnished,1021,806,733,10,11,None,Gated Community,2007.0,18,West,6,True,PUN-RERA-5198-62,18.525654,73.800434,7210000
HP00952,MMR,Mulund,Villa,3,3.0,,Furnished,2072,1727,1375,1,2,None,Low Rise,2016.0,9,North-West,6,False,,19.201725,72.918119,40310000
HP01545,MMR,Vile Parle,Apartment,2,2.0,2.0,Furnished,1123,912,785,3,10,Open,Gated Community,2016.0,9,North,4,False,,18.938945,72.80998,18110000
HP01992,Delhi NCR,Gurugram-Sector 56,Apartment,4,5.0,2.0,Unfurnished,3066,2431,2100,4,6,Covered,Gated Community,2011.0,14,South,8,True,DEL-RERA-7387-38,,77.257001,27680000
HP02348,Chennai,T Nagar,Apartment,2,3.0,,Unfurnished,1867,1502,1261,2,5,Open,Low Rise,2006.0,19,South-East,5,True,CHE-RERA-2921-68,13.199052,80.154608,16930000
HP01412,Pune,Kharadi,Studio,0,1.0,1.0,Unfurnished,750,593,539,13,39,Covered,High Rise,2003.0,22,North,8,True,PUN-RERA-6941-10,18.532508,73.886955,5730000
HP01289,Hyderabad,Banjara Hills,Apartment,1,2.0,2.0,Semi-Furnished,722,599,521,5,7,Open,Gated Community,2025.0,0,East,7,True,HYD-RERA-9237-61,17.356507,78.334858,7120000
HP01213,Bengaluru,Banashankari,Penthouse,3,3.0,,Semi-Furnished,1932,1489,1244,10,21,Covered,High Rise,2021.0,4,North-East,7,True,BEN-RERA-6564-53,12.932776,77.516602,23170000
HP01521,Bengaluru,Hebbal,Apartment,3,4.0,2.0,Semi-Furnished,2055,1596,1314,18,24,Covered,High Rise,2008.0,17,South-East,9,False,,13.048282,77.658232,19190000
HP01534,Ahmedabad,Satellite,Apartment,3,3.0,1.0,Furnished,2000,1650,1407,1,3,Stilt,Standalone Building,2018.0,7,West,7,True,AHM-RERA-1184-37,23.138348,72.650625,11040000
HP00152,Kolkata,Tollygunge,Apartment,2,2.0,3.0,Semi-Furnished,1514,1264,1130,7,10,Covered,Mid Rise,2007.0,18,South,8,True,KOL-RERA-5135-91,22.557669,88.3129,9640000
HP00055,Hyderabad,Manikonda,Penthouse,3,4.0,1.0,Semi-Furnished,2652,2176,1869,15,29,Covered,High Rise,2023.0,2,South,10,True,HYD-RERA-5665-59,17.454666,78.362416,26490000
HP01121,Bengaluru,Koramangala,Apartment,2,3.0,2.0,Furnished,1580,1226,1115,7,7,Covered,Mid Rise,2013.0,12,North-West,5,True,BEN-RERA-6831-90,12.967887,77.473427,14420000
HP00490,Ahmedabad,Prahlad Nagar,Apartment,2,3.0,2.0,Semi-Furnished,1184,887,790,12,22,Covered,High Rise,2016.0,9,North,9,True,AHM-RERA-2344-78,23.122107,72.498918,5930000
HP01725,Bengaluru,Marathahalli,Row House,1,1.0,2.0,Furnished,778,590,497,3,4,Covered,Low Rise,2017.0,8,East,5,False,,13.065788,77.522106,8230000
HP01414,Chennai,Anna Nagar,Apartment,2,3.0,2.0,Furnished,1052,831,726,7,14,Covered,High Rise,2022.0,3,South-East,6,False,,13.071219,80.246323,10510000
HP00823,Chennai,Velachery,Apartment,1,2.0,1.0,Semi-Furnished,1134,961,797,5,15,Covered,High Rise,2001.0,24,North-East,7,True,CHE-RERA-1906-65,13.186447,80.349216,9240000
HP01989,Bengaluru,Marathahalli,Apartment,3,4.0,2.0,Semi-Furnished,2282,1690,1536,12,12,Basement,Mid Rise,2017.0,8,North-West,9,True,BEN-RERA-7501-67,13.137344,77.486854,22100000
HP01576,Hyderabad,Madhapur,Apartment,2,3.0,2.0,Unfurnished,1065,880,771,21,32,Stilt,High Rise,2009.0,16,South-East,6,False,,17.31751,78.539521,7710000
HP00920,MMR,Goregaon East,Villa,4,5.0,3.0,Semi-Furnished,2759,2338,1912,0,3,Open,Bungalow,2019.0,6,North-East,9,True,MMR-RERA-6111-95,19.071941,72.83187,53900000
HP02335,Chennai,Porur,Apartment,4,5.0,,Furnished,3044,2392,2028,30,32,Open,High Rise,2012.0,13,South-East,4,True,CHE-RERA-9507-77,12.928571,80.344425,26970000
HP01118,Pune,Viman Nagar,Apartment,3,4.0,2.0,Unfurnished,1573,1273,1063,1,13,Basement,High Rise,2017.0,8,North-East,7,False,,18.486037,73.899432,14370000
HP01709,Kolkata,Behala,Apartment,4,5.0,1.0,Furnished,1996,1621,1405,11,12,Stilt,Mid Rise,2011.0,14,North-West,9,True,KOL-RERA-5220-44,22.6404,,16560000
HP00477,Chennai,T Nagar,Villa,3,3.0,2.0,Semi-Furnished,1912,1491,1196,0,3,Open,Low Rise,2013.0,12,East,5,False,,12.950874,80.309589,17830000
HP02206,Delhi NCR,Ghaziabad-Indirapuram,Villa,4,5.0,2.0,Semi-Furnished,2777,2002,1697,4,5,Open,Standalone Building,2006.0,19,West,9,True,DEL-RERA-9600-22,28.683284,76.948025,28410000
HP01033,Delhi NCR,,Apartment,3,3.0,3.0,Semi-Furnished,1915,1510,1368,17,21,Basement,High Rise,2009.0,16,North-East,7,True,DEL-RERA-2076-66,28.601483,77.21422,17430000
HP00293,Delhi NCR,Gurugram-DLF Phase 3,Apartment,3,4.0,3.0,Furnished,1604,1236,1078,2,4,None,Low Rise,2025.0,0,West,6,True,DEL-RERA-8665-53,28.326803,77.0953,15300000
HP01477,Chennai,Sholinganallur,Apartment,4,5.0,1.0,Semi-Furnished,2662,2117,1748,23,40,Covered,High Rise,2023.0,2,North-West,5,True,CHE-RERA-6382-36,13.051646,80.247226,23810000
HP00727,Hyderabad,Kukatpally,Penthouse,3,3.0,1.0,Semi-Furnished,2023,1633,1351,6,20,Basement,High Rise,2021.0,4,West,7,False,,17.454644,78.426906,20630000
HP00741,Hyderabad,Gachibowli,Apartment,3,4.0,1.0,Unfurnished,1520,1278,1075,8,11,Covered,Gated Community,2023.0,2,South,5,True,HYD-RERA-5099-54,17.388639,78.520105,11210000
HP00416,Ahmedabad,Bopal,Apartment,3,4.0,1.0,Unfurnished,2728,2126,1843,18,27,Stilt,High Rise,2025.0,0,South-East,9,True,AHM-RERA-7161-46,23.062481,72.574049,15010000
HP01069,Bengaluru,Hebbal,Penthouse,3,4.0,3.0,Semi-Furnished,1576,1312,1105,14,33,None,High Rise,2017.0,8,West,9,True,BEN-RERA-4170-11,12.877898,77.469546,21490000
HP00909,Delhi NCR,Faridabad-Sector 21,Apartment,2,3.0,1.0,Unfurnished,1675,1289,1136,16,29,Open,High Rise,2007.0,18,West,9,True,DEL-RERA-4525-98,28.318436,77.342385,15770000
HP00630,Chennai,Porur,Independent House,2,2.0,1.0,Semi-Furnished,1478,1128,1000,3,3,Open,Standalone Building,2023.0,2,East,9,True,CHE-RERA-3033-76,12.967647,80.294886,13710000
HP00028,Bengaluru,Marathahalli,Independent House,3,3.0,1.0,Semi-Furnished,2707,2125,1686,8,12,Open,Gated Community,2018.0,7,South-East,7,True,BEN-RERA-2880-74,12.875933,77.762666,21660000
HP02306,MMR,Thane West,Independent House,2,3.0,1.0,Unfurnished,1473,1246,1020,1,5,None,Low Rise,2007.0,18,West,7,True,MMR-RERA-3026-77,18.971955,72.91841,20450000
HP00045,Kolkata,New Town,Apartment,3,4.0,1.0,Furnished,1800,1356,1132,7,11,Open,Gated Community,2006.0,19,South,8,True,KOL-RERA-6101-65,22.594505,88.379472,12610000
HP00100,Pune,Hinjawadi,Studio,0,1.0,0.0,Furnished,818,621,544,0,5,None,Standalone Building,,0,South,9,False,,18.470443,73.886466,7320000
HP00214,Kolkata,Salt Lake,Apartment,4,4.0,1.0,Unfurnished,3362,2734,2351,4,10,Stilt,Mid Rise,2014.0,11,North-East,10,True,KOL-RERA-2502-52,22.624945,88.40679,31790000
HP02056,Bengaluru,Hebbal,Apartment,3,4.0,2.0,Furnished,2254,1828,1605,13,31,Basement,High Rise,2012.0,13,,7,True,BEN-RERA-3609-62,12.896343,77.78009,21300000
HP01833,Bengaluru,Whitefield,Apartment,1,2.0,1.0,Semi-Furnished,866,724,608,18,36,Basement,High Rise,2016.0,9,South,7,True,BEN-RERA-2997-54,13.102723,77.792001,7130000
HP02268,MMR,Thane West,Apartment,2,3.0,2.0,Semi-Furnished,1441,1083,971,12,34,Covered,High Rise,2007.0,18,North-East,10,False,,19.090189,72.770556,20040000
HP00606,Ahmedabad,Maninagar,Apartment,2,3.0,1.0,Unfurnished,1079,848,704,3,12,Open,Mid Rise,2014.0,11,,7,True,AHM-RERA-1128-79,23.051489,72.472004,5740000
HP01359,Kolkata,Tollygunge,Apartment,3,3.0,2.0,Unfurnished,2549,2027,1843,4,4,Covered,Low Rise,2011.0,14,North-West,7,True,KOL-RERA-1965-82,22.626874,88.453282,18250000
HP01574,MMR,Vile Parle,Apartment,2,2.0,2.0,Furnished,1247,956,869,7,7,Basement,Gated Community,2014.0,11,South-West,4,False,,18.939615,72.815783,19710000
HP00356,Bengaluru,Koramangala,Independent House,3,4.0,1.0,Unfurnished,2289,1737,1410,2,9,Covered,Gated Community,2017.0,8,North,7,False,,12.952459,77.468428,21730000
HP00042,Delhi NCR,Gurugram-DLF Phase 3,Apartment,4,4.0,2.0,Semi-Furnished,2267,1799,1633,5,22,Covered,High Rise,2002.0,23,South-West,7,True,DEL-RERA-3479-38,28.417383,77.073302,19400000
HP00288,Bengaluru,Banashankari,Apartment,2,2.0,2.0,Semi-Furnished,1623,1373,1201,7,9,Covered,Gated Community,2025.0,0,North-West,7,False,,13.019055,77.558334,14080000
HP01662,Hyderabad,Madhapur,Apartment,1,1.0,2.0,Unfurnished,942,761,671,6,9,Covered,Mid Rise,2011.0,14,North,8,True,HYD-RERA-8901-32,17.329276,78.496798,6820000
HP00068,Bengaluru,Banashankari,Studio,0,2.0,0.0,Unfurnished,527,433,371,19,40,Basement,High Rise,2014.0,11,North-East,8,True,BEN-RERA-7788-69,12.900793,77.460558,3880000
HP01651,Hyderabad,Gachibowli,Studio,0,1.0,0.0,Unfurnished,638,512,438,1,5,Open,Standalone Building,2018.0,7,North-West,8,True,HYD-RERA-9284-93,17.530051,78.338772,4670000
HP01873,Chennai,Porur,Independent House,4,5.0,2.0,Semi-Furnished,1985,1658,1460,0,2,Basement,Bungalow,2015.0,10,South-West,8,False,,13.12814,80.266248,16480000
HP01476,Bengaluru,Banashankari,Apartment,3,3.0,1.0,Unfurnished,1823,1453,1321,1,4,Open,Low Rise,2000.0,25,East,4,False,,12.85001,77.539956,13050000
HP01746,Bengaluru,Banashankari,Independent House,3,3.0,2.0,Semi-Furnished,1894,1473,1213,0,1,Basement,Bungalow,2012.0,13,North-West,6,False,,13.01293,77.736685,16100000
HP01471,MMR,Vile Parle,Apartment,2,2.0,1.0,Furnished,1847,1469,1282,7,10,Basement,Gated Community,2012.0,13,North,7,True,MMR-RERA-2367-13,19.104677,72.795513,30420000
HP01846,Ahmedabad,Prahlad Nagar,Apartment,4,4.0,1.0,Unfurnished,1958,1582,1434,1,8,,Mid Rise,2007.0,18,North-West,7,True,AHM-RERA-1899-63,22.98165,72.540722,8320000
HP00121,Ahmedabad,Vastrapur,Apartment,1,2.0,1.0,Unfurnished,1145,853,742,1,39,Covered,High Rise,2014.0,11,South-East,7,True,AHM-RERA-1368-57,22.936515,72.63903,5810000
HP01617,Ahmedabad,Prahlad Nagar,Studio,0,2.0,1.0,Semi-Furnished,550,442,372,15,31,Basement,High Rise,2011.0,14,South-West,6,True,AHM-RERA-2826-27,23.066734,72.522852,2230000
HP00700,Kolkata,New Town,Studio,0,1.0,0.0,Unfurnished,555,450,376,27,40,Covered,High Rise,1997.0,28,West,6,True,KOL-RERA-7349-50,22.608424,88.389894,3160000
HP02107,Delhi NCR,Gurugram-DLF Phase 3,Studio,0,2.0,1.0,Unfurnished,773,596,510,17,38,Basement,High Rise,2002.0,23,West,8,False,,28.59574,76.930006,6540000
HP00144,Bengaluru,Sarjapur Road,Apartment,2,2.0,3.0,Furnished,1050,826,737,6,12,Basement,Mid Rise,2012.0,13,North-East,9,True,BEN-RERA-9696-78,12.986941,77.647949,9910000
HP00204,Pune,Hinjawadi,Villa,3,3.0,2.0,Unfurnished,1756,1305,1055,4,4,Covered,Standalone Building,2012.0,13,North-West,7,True,PUN-RERA-6872-15,18.605252,73.806128,14890000
HP01642,Hyderabad,Jubilee Hills,Penthouse,5,5.0,1.0,Semi-Furnished,5774,4517,3790,4,36,Covered,High Rise,2008.0,17,East,7,True,HYD-RERA-7106-43,17.476963,78.369885,52300000
HP00414,Bengaluru,Yelahanka,Apartment,2,3.0,1.0,Unfurnished,1606,1276,1122,1,7,Covered,Mid Rise,2002.0,23,South,7,True,BEN-RERA-8450-85,13.126585,77.79688,14120000
HP02120,Pune,Aundh,Apartment,2,3.0,2.0,Semi-Furnished,1910,1516,1252,3,3,Stilt,Standalone Building,2018.0,7,South,5,True,PUN-RERA-7428-77,18.475419,73.841705,18770000
HP01499,Kolkata,New Town,Apartment,3,4.0,3.0,Unfurnished,1640,1306,1091,4,7,Basement,Mid Rise,2014.0,11,East,8,True,KOL-RERA-3244-71,22.583163,88.362286,12530000
HP00131,MMR,Andheri West,Apartment,3,3.0,1.0,Furnished,1770,1339,1167,0,4,Covered,Standalone Building,2016.0,9,South-West,3,True,MMR-RERA-7663-25,19.162586,72.912801,27800000
HP01483,Pune,Aundh,Apartment,2,3.0,1.0,Semi-Furnished,1323,1103,949,7,8,,Mid Rise,2013.0,12,North-West,5,False,,18.59362,73.850908,11180000
HP00445,Delhi NCR,Gurugram-Sector 56,Apartment,2,3.0,1.0,Unfurnished,1059,867,770,0,3,Open,Standalone Building,2018.0,7,South,7,True,DEL-RERA-4888-98,28.78615,77.465398,8300000
HP01015,Pune,Baner,Apartment,1,2.0,3.0,Semi-Furnished,954,788,660,20,22,Covered,High Rise,2016.0,9,East,7,True,PUN-RERA-5556-55,18.631834,73.831689,9570000
HP01644,Bengaluru,Marathahalli,Apartment,4,4.0,1.0,Semi-Furnished,2542,1992,1738,5,35,Covered,High Rise,2011.0,14,North-East,8,True,BEN-RERA-4723-91,12.835631,77.488704,26320000
HP02336,Delhi NCR,Dwarka,Apartment,4,4.0,2.0,Unfurnished,2838,2194,1995,4,6,Covered,Mid Rise,2022.0,3,East,7,True,DEL-RERA-9392-70,28.773756,76.904736,26880000
HP02338,Delhi NCR,Gurugram-DLF Phase 3,Independent House,4,5.0,2.0,Unfurnished,3898,3117,2579,3,5,None,Standalone Building,2009.0,16,East,7,True,DEL-RERA-6683-35,28.672176,77.468962,23690000
